model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,label14,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9,prediction10,prediction11,prediction12,prediction13,prediction14
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10019623621623,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.1019623621624,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10215859837864,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10235483459488,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10255107081112,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10274730702736,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.1029435432436,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10313977945984,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10333601567608,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10353225189232,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10372848810856,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.1039247243248,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.10981181081199,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.119623621624,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.129435432436,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.13924724324801,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.15887086487201,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.17849448649602,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,64.1,64.19811810812003,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
