model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,27.1,311.41662182148866,,A,AB,AC,ACD,AD,B,CD,0,0,1,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100000228183386,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100002281833866,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100022818338644,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100045636677287,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100114091693214,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100228183386424,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100342275079637,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.10045636677285,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100684550159272,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.100912733545698,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,16.1,16.10114091693212,,A,AB,AC,AD,B,C,D,0,0,1,0,0,0,0,0
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,16.1,16.1,,A,AB,AC,AD,B,C,D,1,0,0,0,0,1,1,1
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,16.1,16.296392329055234,,A,AB,AC,AD,B,C,D,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,16.1,18.063923290552307,,A,AB,AC,AD,B,C,D,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.101962362162404,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.103924724324802,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.109811810812005,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.119623621624008,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.12943543243601,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.139247243248015,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.15887086487202,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.178494486496028,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.198118108120035,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,16.1,16.296392329055234,,A,AB,AC,AD,B,C,D,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,16.1,18.063923290552307,,A,AB,AC,AD,B,C,D,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.101962362162404,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.102158598378644,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.102354834594884,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.10255107081112,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.10274730702736,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.1029435432436,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.10313977945984,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.10333601567608,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.10353225189232,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.103728488108562,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.103924724324802,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.109811810812005,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.119623621624008,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.12943543243601,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.139247243248015,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.15887086487202,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.178494486496028,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,24.1,24.198118108120035,,A,B,BC,BCD,BD,C,CD,0,0,0,0,1,0,0,0
